sales_id,sales_date,sku_id,store_id,qty,price,promo,amount
100053,2024-06-13,64506,312,13,16701.31,False,217117.03
100040,2024-06-17,64509,312,11,33664.9,False,370313.9
100080,2024-06-18,64504,215,8,40828.02,False,326624.16
100084,2024-06-21,64501,215,5,25274.33,False,126371.65
100056,2024-06-22,64512,215,2,36216.75,False,72433.5
100088,2024-06-25,64503,312,4,41012.06,False,164048.24
100049,2024-06-28,64502,312,9,29567.05,False,266103.45
100089,2024-07-04,64502,312,2,27863.84,False,55727.68
100039,2024-07-06,64500,312,9,23225.68,False,209031.12
100015,2024-07-10,64509,215,24,33444.88,False,802677.12
100054,2024-07-13,64503,215,4,34689.93,True,138759.72
100083,2024-07-14,64502,312,3,28553.34,False,85660.02
100044,2024-07-19,64513,215,0,25273.98,False,0.0
100013,2024-07-24,64506,215,17,17126.47,False,291149.99
100007,2024-08-10,64509,215,9,33435.19,False,300916.71
100027,2024-08-15,64501,215,7,26393.51,False,184754.57
100038,2024-08-15,64509,215,9,32267.5,False,290407.5
100022,2024-08-15,64506,312,11,17327.76,False,190605.36
100071,2024-08-17,64506,215,10,16812.91,False,168129.1
100000,2024-08-28,64511,215,0,32289.02,False,0.0
100055,2024-08-28,64510,312,3,25776.43,False,77329.29
100090,2024-09-03,64509,215,14,32424.5,False,453943.0
100078,2024-09-05,64512,312,3,36124.88,False,108374.64
100092,2024-09-06,64509,215,13,32412.51,False,421362.63
100068,2024-09-07,64511,312,1,31910.04,False,31910.04
100087,2024-09-12,64510,215,4,25788.0,False,103152.0
100042,2024-09-14,64500,215,5,20434.5,True,102172.5
100051,2024-09-23,64500,215,3,20711.2,True,62133.6
100026,2024-09-23,64503,312,4,40632.39,False,162529.56
100097,2024-09-27,64502,215,5,28683.99,False,143419.95
100081,2024-09-28,64511,215,3,32016.55,False,96049.65
100082,2024-10-03,64500,312,5,23061.81,False,115309.05
100032,2024-10-03,64507,312,11,19711.12,False,216822.32
100069,2024-10-05,64508,312,11,8185.36,True,90038.96
100037,2024-10-06,64512,215,3,37688.12,False,113064.36
100018,2024-10-06,64505,312,3,14243.04,False,42729.12
100099,2024-10-11,64501,215,2,25096.51,False,50193.02
100035,2024-10-12,64500,312,6,23240.7,False,139444.2
100077,2024-10-20,64508,312,14,9328.36,False,130597.04
100024,2024-10-24,64514,312,4,36729.16,False,146916.64
100061,2024-10-25,64508,215,15,9414.41,False,141216.15
100059,2024-10-31,64511,312,1,28239.59,True,28239.59
100025,2024-11-01,64504,312,6,34460.62,True,206763.72
100036,2024-11-02,64513,215,3,25210.2,False,75630.6
100028,2024-11-04,64509,215,14,33581.78,False,470144.92
100067,2024-11-05,64510,215,1,26469.81,False,26469.81
100003,2024-11-07,64510,312,1,25687.63,False,25687.63
100001,2024-11-07,64512,312,2,37667.14,False,75334.28
100094,2024-11-10,64504,215,4,34807.48,True,139229.92
100098,2024-11-10,64510,215,6,25276.17,False,151657.02
100002,2024-11-11,64514,215,7,37301.41,False,261109.87
100085,2024-11-14,64502,215,5,25169.45,True,125847.25
100064,2024-11-19,64508,215,12,8557.68,True,102692.16
100041,2024-11-21,64500,215,6,23443.84,False,140663.04
100095,2024-11-30,64512,312,3,38271.2,False,114813.6
100076,2024-12-02,64511,312,4,32101.54,False,128406.16
100073,2024-12-03,64502,312,7,25555.48,True,178888.36
100045,2024-12-22,64503,215,6,40775.02,False,244650.12
100063,2024-12-22,64508,215,13,9707.23,False,126193.99
100004,2024-12-24,64500,312,6,20578.68,True,123472.08
100079,2024-12-25,64510,215,6,26275.75,False,157654.5
100019,2024-12-29,64512,215,3,37010.85,False,111032.55
