sales_date,week_start_date,sku_id,store_id,category_id,category_name,brand,weight_kg,city,region,qty,price,amount,promo,is_holiday
2024-09-28,2024-09-23,64511,215,80003,Холодильники,LG,58.42,Київ,Київська область,3,32016.55,96049.65,False,False
2024-10-03,2024-09-30,64500,312,80001,Ноутбуки,Lenovo,2.38,Львів,Львівська область,5,23061.81,115309.05,False,False
2024-10-03,2024-09-30,64507,312,80002,Смартфони,Apple,0.17,Львів,Львівська область,11,19711.12,216822.32,False,False
2024-10-05,2024-09-30,64508,312,80002,Смартфони,Google,0.24,Львів,Львівська область,11,8185.36,90038.96,True,False
2024-10-06,2024-09-30,64512,215,80003,Холодильники,Bosch,84.47,Київ,Київська область,3,37688.12,113064.36,False,False
2024-10-06,2024-09-30,64505,312,80002,Смартфони,Samsung,0.18,Львів,Львівська область,3,14243.04,42729.12,False,False
2024-10-11,2024-10-07,64501,215,80001,Ноутбуки,ASUS,1.57,Київ,Київська область,2,25096.51,50193.02,False,False
2024-10-12,2024-10-07,64500,312,80001,Ноутбуки,Lenovo,2.38,Львів,Львівська область,6,23240.7,139444.2,False,False
2024-10-20,2024-10-14,64508,312,80002,Смартфони,Google,0.24,Львів,Львівська область,14,9328.36,130597.04,False,False
2024-10-24,2024-10-21,64514,312,80003,Холодильники,Beko,89.76,Львів,Львівська область,4,36729.16,146916.64,False,False
2024-10-25,2024-10-21,64508,215,80002,Смартфони,Google,0.24,Київ,Київська область,15,9414.41,141216.15,False,False
2024-10-31,2024-10-28,64511,312,80003,Холодильники,LG,58.42,Львів,Львівська область,1,28239.59,28239.59,True,False
2024-11-01,2024-10-28,64504,312,80001,Ноутбуки,Apple,1.41,Львів,Львівська область,6,34460.62,206763.72,True,False
2024-11-02,2024-10-28,64513,215,80003,Холодильники,Whirlpool,77.35,Київ,Київська область,3,25210.2,75630.6,False,False
2024-11-04,2024-11-04,64509,215,80002,Смартфони,OnePlus,0.18,Київ,Київська область,14,33581.78,470144.92,False,False
2024-11-05,2024-11-04,64510,215,80003,Холодильники,Samsung,62.76,Київ,Київська область,1,26469.81,26469.81,False,False
2024-11-07,2024-11-04,64510,312,80003,Холодильники,Samsung,62.76,Львів,Львівська область,1,25687.63,25687.63,False,False
2024-11-07,2024-11-04,64512,312,80003,Холодильники,Bosch,84.47,Львів,Львівська область,2,37667.14,75334.28,False,False
2024-11-10,2024-11-04,64504,215,80001,Ноутбуки,Apple,1.41,Київ,Київська область,4,34807.48,139229.92,True,False
2024-11-10,2024-11-04,64510,215,80003,Холодильники,Samsung,62.76,Київ,Київська область,6,25276.17,151657.02,False,False
2024-11-11,2024-11-11,64514,215,80003,Холодильники,Beko,89.76,Київ,Київська область,7,37301.41,261109.87,False,False
2024-11-14,2024-11-11,64502,215,80001,Ноутбуки,Acer,1.85,Київ,Київська область,5,25169.45,125847.25,True,False
2024-11-19,2024-11-18,64508,215,80002,Смартфони,Google,0.24,Київ,Київська область,12,8557.68,102692.16,True,False
2024-11-21,2024-11-18,64500,215,80001,Ноутбуки,Lenovo,2.38,Київ,Київська область,6,23443.84,140663.04,False,False
2024-11-30,2024-11-25,64512,312,80003,Холодильники,Bosch,84.47,Львів,Львівська область,3,38271.2,114813.6,False,False
2024-12-02,2024-12-02,64511,312,80003,Холодильники,LG,58.42,Львів,Львівська область,4,32101.54,128406.16,False,True
2024-12-03,2024-12-02,64502,312,80001,Ноутбуки,Acer,1.85,Львів,Львівська область,7,25555.48,178888.36,True,False
2024-12-22,2024-12-16,64503,215,80001,Ноутбуки,HP,2.51,Київ,Київська область,6,40775.02,244650.12,False,False
2024-12-22,2024-12-16,64508,215,80002,Смартфони,Google,0.24,Київ,Київська область,13,9707.23,126193.99,False,False
2024-12-24,2024-12-23,64500,312,80001,Ноутбуки,Lenovo,2.38,Львів,Львівська область,6,20578.68,123472.08,True,True
2024-12-25,2024-12-23,64510,215,80003,Холодильники,Samsung,62.76,Київ,Київська область,6,26275.75,157654.5,False,False
2024-12-29,2024-12-23,64512,215,80003,Холодильники,Bosch,84.47,Київ,Київська область,3,37010.85,111032.55,False,False
