inventory_id,snapshot_date,sku_id,store_id,qty_on_hand,qty_in_transit,last_updated_ts
200037,2024-09-30,64506,312,37,22,2024-09-30 19:00:00
200099,2024-10-01,64500,312,69,5,2024-10-01 01:00:00
200046,2024-10-03,64513,312,5,13,2024-10-03 19:00:00
200030,2024-10-09,64510,215,35,2,2024-10-09 23:00:00
200075,2024-10-13,64506,312,33,35,2024-10-13 05:00:00
200032,2024-10-17,64503,215,28,38,2024-10-17 20:00:00
200082,2024-10-27,64511,312,1,5,2024-10-27 18:00:00
200092,2024-10-29,64500,312,31,38,2024-10-29 22:00:00
200071,2024-11-09,64504,215,60,22,2024-11-09 05:00:00
200034,2024-11-13,64513,215,79,15,2024-11-13 14:00:00
200061,2024-11-18,64511,312,26,21,2024-11-18 21:00:00
200049,2024-11-22,64507,215,52,15,2024-11-22 04:00:00
200007,2024-11-24,64502,215,56,19,2024-11-24 00:00:00
200078,2024-11-26,64504,215,25,13,2024-11-26 16:00:00
200085,2024-11-26,64509,312,65,39,2024-11-26 09:00:00
200040,2024-11-26,64510,312,16,16,2024-11-26 18:00:00
200067,2024-12-10,64505,215,60,3,2024-12-10 04:00:00
200048,2024-12-16,64502,215,24,34,2024-12-16 01:00:00
200005,2024-12-20,64511,215,72,34,2024-12-20 08:00:00
200081,2024-12-22,64507,312,32,34,2024-12-22 19:00:00
200031,2024-12-28,64504,215,57,33,2024-12-28 02:00:00
